tpo_label,official_number,article_index,article_id,title,subject,subject_english,review_url,source_page
"tpo10","10","3","156","Seventeenth-Century European Economic Growth","历史","History","https://top.zhan.com/toefl/read/practicereview-156-13.html","https://top.zhan.com/toefl/read/alltpo12.html"
"tpo11","11","1","171","Ancient Egyptian Sculpture","艺术","Art","https://top.zhan.com/toefl/read/practicereview-171-13.html","https://top.zhan.com/toefl/read/alltpo12.html"
"tpo11","11","2","172","Orientation and Navigation","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-172-13.html","https://top.zhan.com/toefl/read/alltpo12.html"
"tpo11","11","3","173","Begging by Nestlings","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-173-13.html","https://top.zhan.com/toefl/read/alltpo12.html"
"tpo12","12","1","188","Which Hand Did They Use?","人类学","Anthropology","https://top.zhan.com/toefl/read/practicereview-188-13.html","https://top.zhan.com/toefl/read/alltpo12.html"
"tpo12","12","2","189","Transition to Sound in Film","艺术","Art","https://top.zhan.com/toefl/read/practicereview-189-13.html","https://top.zhan.com/toefl/read/alltpo12.html"
"tpo12","12","3","190","Water in the Desert","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-190-13.html","https://top.zhan.com/toefl/read/alltpo12.html"
"tpo13","13","1","205","Types of Social Groups","社会学","Sociology","https://top.zhan.com/toefl/read/practicereview-205-13.html","https://top.zhan.com/toefl/read/alltpo16.html"
"tpo13","13","2","206","Biological Clocks","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-206-13.html","https://top.zhan.com/toefl/read/alltpo16.html"
"tpo13","13","3","207","Methods of Studying Infant Perception","心理学","Psychology","https://top.zhan.com/toefl/read/practicereview-207-13.html","https://top.zhan.com/toefl/read/alltpo16.html"
"tpo14","14","1","222","Children and Advertising","商业","Business","https://top.zhan.com/toefl/read/practicereview-222-13.html","https://top.zhan.com/toefl/read/alltpo16.html"
"tpo14","14","2","223","Maya Water Problems","人类学","Anthropology","https://top.zhan.com/toefl/read/practicereview-223-13.html","https://top.zhan.com/toefl/read/alltpo16.html"
"tpo14","14","3","224","Pastoralism in Ancient Inner Eurasia","人类学","Anthropology","https://top.zhan.com/toefl/read/practicereview-224-13.html","https://top.zhan.com/toefl/read/alltpo16.html"
"tpo15","15","1","239","A Warm-Blooded Turtle","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-239-13.html","https://top.zhan.com/toefl/read/alltpo16.html"
"tpo15","15","2","240","Mass Extinctions","考古学","Archaeology","https://top.zhan.com/toefl/read/practicereview-240-13.html","https://top.zhan.com/toefl/read/alltpo16.html"
"tpo15","15","3","241","Glacier Formation","地理学","Geography","https://top.zhan.com/toefl/read/practicereview-241-13.html","https://top.zhan.com/toefl/read/alltpo16.html"
"tpo16","16","1","256","Trade and the Ancient Middle East","历史","History","https://top.zhan.com/toefl/read/practicereview-256-13.html","https://top.zhan.com/toefl/read/alltpo16.html"
"tpo16","16","2","257","Development of the Periodic Table","化学","Chemistry","https://top.zhan.com/toefl/read/practicereview-257-13.html","https://top.zhan.com/toefl/read/alltpo16.html"
"tpo16","16","3","258","Planets in Our Solar System","天文学","Astronomy","https://top.zhan.com/toefl/read/practicereview-258-13.html","https://top.zhan.com/toefl/read/alltpo16.html"
"tpo17","17","1","273","Europe's Early Sea Trade with Asia","历史","History","https://top.zhan.com/toefl/read/practicereview-273-13.html","https://top.zhan.com/toefl/read/alltpo20.html"
"tpo17","17","2","274","Animal Signals in the Rain Forest","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-274-13.html","https://top.zhan.com/toefl/read/alltpo20.html"
"tpo17","17","3","275","Symbiotic Relationships","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-275-13.html","https://top.zhan.com/toefl/read/alltpo20.html"
"tpo18","18","1","290","Industrialization in the Netherlands and Scandinavia","历史","History","https://top.zhan.com/toefl/read/practicereview-290-13.html","https://top.zhan.com/toefl/read/alltpo20.html"
"tpo18","18","2","291","The Mystery of Yawning","心理学","Psychology","https://top.zhan.com/toefl/read/practicereview-291-13.html","https://top.zhan.com/toefl/read/alltpo20.html"
"tpo18","18","3","292","Lightning","气象学","Meteorology","https://top.zhan.com/toefl/read/practicereview-292-13.html","https://top.zhan.com/toefl/read/alltpo20.html"
"tpo19","19","1","307","The Roman Army's Impact on Britain","历史","History","https://top.zhan.com/toefl/read/practicereview-307-13.html","https://top.zhan.com/toefl/read/alltpo20.html"
"tpo19","19","2","308","Succession, Climax, and Ecosystems","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-308-13.html","https://top.zhan.com/toefl/read/alltpo20.html"
"tpo19","19","3","309","Discovering the Ice Ages","地理学","Geography","https://top.zhan.com/toefl/read/practicereview-309-13.html","https://top.zhan.com/toefl/read/alltpo20.html"
"tpo20","20","1","324","Westward Migration","人口统计学","Demography","https://top.zhan.com/toefl/read/practicereview-324-13.html","https://top.zhan.com/toefl/read/alltpo20.html"
"tpo20","20","2","325","Early Settlements in the Southwest Asia","人类学","Anthropology","https://top.zhan.com/toefl/read/practicereview-325-13.html","https://top.zhan.com/toefl/read/alltpo20.html"
"tpo20","20","3","326","Fossil Preservation","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-326-13.html","https://top.zhan.com/toefl/read/alltpo20.html"
"tpo21","21","1","341","Geothermal Energy","地理学","Geography","https://top.zhan.com/toefl/read/practicereview-341-13.html","https://top.zhan.com/toefl/read/alltpo24.html"
"tpo21","21","2","342","The Origins of Agriculture","农业","Agriculture","https://top.zhan.com/toefl/read/practicereview-342-13.html","https://top.zhan.com/toefl/read/alltpo24.html"
"tpo21","21","3","343","Autobiographical Memory","心理学","Psychology","https://top.zhan.com/toefl/read/practicereview-343-13.html","https://top.zhan.com/toefl/read/alltpo24.html"
"tpo22","22","1","358","Spartina","植物学","Botany","https://top.zhan.com/toefl/read/practicereview-358-13.html","https://top.zhan.com/toefl/read/alltpo24.html"
"tpo22","22","2","359","The Birth of Photography","艺术","Art","https://top.zhan.com/toefl/read/practicereview-359-13.html","https://top.zhan.com/toefl/read/alltpo24.html"
"tpo22","22","3","360","The Allende Meteorite","天文学","Astronomy","https://top.zhan.com/toefl/read/practicereview-360-13.html","https://top.zhan.com/toefl/read/alltpo24.html"
"tpo23","23","1","375","Urban Climates","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-375-13.html","https://top.zhan.com/toefl/read/alltpo24.html"
"tpo23","23","2","376","Seventeenth-Century Dutch Agriculture","农业","Agriculture","https://top.zhan.com/toefl/read/practicereview-376-13.html","https://top.zhan.com/toefl/read/alltpo24.html"
"tpo23","23","3","377","Rock Art of the Australia Aborigines","艺术","Art","https://top.zhan.com/toefl/read/practicereview-377-13.html","https://top.zhan.com/toefl/read/alltpo24.html"
"tpo24","24","1","392","Lake Water","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-392-13.html","https://top.zhan.com/toefl/read/alltpo24.html"
"tpo24","24","2","393","Breathing During Sleep","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-393-13.html","https://top.zhan.com/toefl/read/alltpo24.html"
"tpo24","24","3","394","Moving into Pueblos","人类学","Anthropology","https://top.zhan.com/toefl/read/practicereview-394-13.html","https://top.zhan.com/toefl/read/alltpo24.html"
"tpo25","25","1","409","The Surface of Mars","天文学","Astronomy","https://top.zhan.com/toefl/read/practicereview-409-13.html","https://top.zhan.com/toefl/read/alltpo28.html"
"tpo25","25","2","410","The Decline of Venetian Shipping","商业","Business","https://top.zhan.com/toefl/read/practicereview-410-13.html","https://top.zhan.com/toefl/read/alltpo28.html"
"tpo25","25","3","411","The Evolutionary Origin of Plants","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-411-13.html","https://top.zhan.com/toefl/read/alltpo28.html"
"tpo26","26","1","426","Energy and the Industrial Revolution","历史","History","https://top.zhan.com/toefl/read/practicereview-426-13.html","https://top.zhan.com/toefl/read/alltpo28.html"
"tpo26","26","2","427","Survival of Plants and Animals in Desert Conditions","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-427-13.html","https://top.zhan.com/toefl/read/alltpo28.html"
"tpo26","26","3","428","Sumer and the First Cities of the Ancient Near East","历史","History","https://top.zhan.com/toefl/read/practicereview-428-13.html","https://top.zhan.com/toefl/read/alltpo28.html"
"tpo27","27","1","443","Crafts in the Ancient Near East","艺术","Art","https://top.zhan.com/toefl/read/practicereview-443-13.html","https://top.zhan.com/toefl/read/alltpo28.html"
"tpo27","27","2","444","The Formation of Volcanic Islands","地理学","Geography","https://top.zhan.com/toefl/read/practicereview-444-13.html","https://top.zhan.com/toefl/read/alltpo28.html"
"tpo27","27","3","445","Predator-Prey Cycles","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-445-13.html","https://top.zhan.com/toefl/read/alltpo28.html"
"tpo28","28","1","460","Groundwater","地理学","Geography","https://top.zhan.com/toefl/read/practicereview-460-13.html","https://top.zhan.com/toefl/read/alltpo28.html"
"tpo28","28","2","462","Buck Rubs and Buck Scrapes","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-462-13.html","https://top.zhan.com/toefl/read/alltpo28.html"
"tpo28","28","3","461","Early Saharan Pastoralists","人类学","Anthropology","https://top.zhan.com/toefl/read/practicereview-461-13.html","https://top.zhan.com/toefl/read/alltpo28.html"
"tpo29","29","1","477","Characteristics of Roman Pottery","艺术","Art","https://top.zhan.com/toefl/read/practicereview-477-13.html","https://top.zhan.com/toefl/read/alltpo32.html"
"tpo29","29","2","478","Competition","社会学","Sociology","https://top.zhan.com/toefl/read/practicereview-478-13.html","https://top.zhan.com/toefl/read/alltpo32.html"
"tpo29","29","3","479","The History of Waterpower","历史","History","https://top.zhan.com/toefl/read/practicereview-479-13.html","https://top.zhan.com/toefl/read/alltpo32.html"
"tpo30","30","1","494","Role of Play in Development","心理学","Psychology","https://top.zhan.com/toefl/read/practicereview-494-13.html","https://top.zhan.com/toefl/read/alltpo32.html"
"tpo30","30","2","495","The Pace of Evolutionary Change","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-495-13.html","https://top.zhan.com/toefl/read/alltpo32.html"
"tpo30","30","3","496","The Invention of the Mechanical Clock","历史","History","https://top.zhan.com/toefl/read/practicereview-496-13.html","https://top.zhan.com/toefl/read/alltpo32.html"
"tpo31","31","1","511","Speciation in Geographically Isolated Populations","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-511-13.html","https://top.zhan.com/toefl/read/alltpo32.html"
"tpo31","31","2","512","Early Childhood Education","社会学","Sociology","https://top.zhan.com/toefl/read/practicereview-512-13.html","https://top.zhan.com/toefl/read/alltpo32.html"
"tpo31","31","3","513","Savanna Formation","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-513-13.html","https://top.zhan.com/toefl/read/alltpo32.html"
"tpo32","32","1","528","Plant Colonization","植物学","Botany","https://top.zhan.com/toefl/read/practicereview-528-13.html","https://top.zhan.com/toefl/read/alltpo32.html"
"tpo32","32","2","529","Siam, 1851 – 1910","人口统计学","Demography","https://top.zhan.com/toefl/read/practicereview-529-13.html","https://top.zhan.com/toefl/read/alltpo32.html"
"tpo32","32","3","530","Distributions of Tropical Bee Colonies","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-530-13.html","https://top.zhan.com/toefl/read/alltpo32.html"
"tpo33","33","1","545","The First Civilizations","历史","History","https://top.zhan.com/toefl/read/practicereview-545-13.html","https://top.zhan.com/toefl/read/alltpo36.html"
"tpo33","33","2","546","Railroads and Commercial Agriculture In Nineteenth-Century United States","社会学","Sociology","https://top.zhan.com/toefl/read/practicereview-546-13.html","https://top.zhan.com/toefl/read/alltpo36.html"
"tpo33","33","3","547","Extinction Episodes of The Past","考古学","Archaeology","https://top.zhan.com/toefl/read/practicereview-547-13.html","https://top.zhan.com/toefl/read/alltpo36.html"
"tpo34","34","1","562","Islamic Art and The Book","艺术","Art","https://top.zhan.com/toefl/read/practicereview-562-13.html","https://top.zhan.com/toefl/read/alltpo36.html"
"tpo34","34","2","563","The Development of Steam Power","历史","History","https://top.zhan.com/toefl/read/practicereview-563-13.html","https://top.zhan.com/toefl/read/alltpo36.html"
"tpo34","34","3","564","Protection Of Plants By Insects","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-564-13.html","https://top.zhan.com/toefl/read/alltpo36.html"
"tpo35","35","1","917","Earth’s Age","地理学","Geography","https://top.zhan.com/toefl/read/practicereview-917-13.html","https://top.zhan.com/toefl/read/alltpo36.html"
"tpo35","35","2","918","The Development of Social Complexity","社会学","Sociology","https://top.zhan.com/toefl/read/practicereview-918-13.html","https://top.zhan.com/toefl/read/alltpo36.html"
"tpo35","35","3","919","Seasonal Succession In Phytoplankton","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-919-13.html","https://top.zhan.com/toefl/read/alltpo36.html"
"tpo36","36","1","951","Soil Formation","地理学","Geography","https://top.zhan.com/toefl/read/practicereview-951-13.html","https://top.zhan.com/toefl/read/alltpo36.html"
"tpo36","36","2","952","Early Ideas About Deep-sea Biology","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-952-13.html","https://top.zhan.com/toefl/read/alltpo36.html"
"tpo36","36","3","953","Industrial Melanism: The Case of the Peppered Moth","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-953-13.html","https://top.zhan.com/toefl/read/alltpo36.html"
"tpo37","37","1","985","Thales And The Milesians","人类学","Anthropology","https://top.zhan.com/toefl/read/practicereview-985-13.html","https://top.zhan.com/toefl/read/alltpo40.html"
"tpo37","37","2","986","Direct Species Translocation","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-986-13.html","https://top.zhan.com/toefl/read/alltpo40.html"
"tpo37","37","3","987","Modern Architecture In The United States","历史","History","https://top.zhan.com/toefl/read/practicereview-987-13.html","https://top.zhan.com/toefl/read/alltpo40.html"
"tpo38","38","1","968","Microscopes","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-968-13.html","https://top.zhan.com/toefl/read/alltpo40.html"
"tpo38","38","2","969","The Raccoons's Success","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-969-13.html","https://top.zhan.com/toefl/read/alltpo40.html"
"tpo38","38","3","970","Transgenic Plants","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-970-13.html","https://top.zhan.com/toefl/read/alltpo40.html"
"tpo39","39","1","934","Early Writing Systems","历史","History","https://top.zhan.com/toefl/read/practicereview-934-13.html","https://top.zhan.com/toefl/read/alltpo40.html"
"tpo39","39","2","935","The Extinction of Moa","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-935-13.html","https://top.zhan.com/toefl/read/alltpo40.html"
"tpo39","39","3","936","Forest Fire Suppression","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-936-13.html","https://top.zhan.com/toefl/read/alltpo40.html"
"tpo40","40","1","611","Ancient Athens","历史","History","https://top.zhan.com/toefl/read/practicereview-611-13.html","https://top.zhan.com/toefl/read/alltpo40.html"
"tpo40","40","2","612","Latitude and Biodiversity","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-612-13.html","https://top.zhan.com/toefl/read/alltpo40.html"
"tpo40","40","3","613","Amphibian Thermoregulation","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-613-13.html","https://top.zhan.com/toefl/read/alltpo40.html"
"tpo41","41","1","628","Navajo Art","艺术","Art","https://top.zhan.com/toefl/read/practicereview-628-13.html","https://top.zhan.com/toefl/read/alltpo44.html"
"tpo41","41","2","629","Climate Of Venus","天文学","Astronomy","https://top.zhan.com/toefl/read/practicereview-629-13.html","https://top.zhan.com/toefl/read/alltpo44.html"
"tpo41","41","3","630","Trade And Early State Formation","社会学","Sociology","https://top.zhan.com/toefl/read/practicereview-630-13.html","https://top.zhan.com/toefl/read/alltpo44.html"
"tpo42","42","1","645","Geographic Isolation Of Species","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-645-13.html","https://top.zhan.com/toefl/read/alltpo44.html"
"tpo42","42","2","646","Explaining Dinosaur Extinction","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-646-13.html","https://top.zhan.com/toefl/read/alltpo44.html"
"tpo42","42","3","647","Callisto and Ganymede","天文学","Astronomy","https://top.zhan.com/toefl/read/practicereview-647-13.html","https://top.zhan.com/toefl/read/alltpo44.html"
"tpo43","43","1","662","The Empire Of Alexander The Great","历史","History","https://top.zhan.com/toefl/read/practicereview-662-13.html","https://top.zhan.com/toefl/read/alltpo44.html"
"tpo43","43","2","663","The Origin Of Petroleum","化学","Chemistry","https://top.zhan.com/toefl/read/practicereview-663-13.html","https://top.zhan.com/toefl/read/alltpo44.html"
"tpo43","43","3","664","El Niño","气象学","Meteorology","https://top.zhan.com/toefl/read/practicereview-664-13.html","https://top.zhan.com/toefl/read/alltpo44.html"
"tpo44","44","1","679","From Fish to Terrestrial Vertebrates","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-679-13.html","https://top.zhan.com/toefl/read/alltpo44.html"
"tpo44","44","2","680","The Use Of The Camera Obscura","艺术","Art","https://top.zhan.com/toefl/read/practicereview-680-13.html","https://top.zhan.com/toefl/read/alltpo44.html"
"tpo44","44","3","681","Seagrasses","植物学","Botany","https://top.zhan.com/toefl/read/practicereview-681-13.html","https://top.zhan.com/toefl/read/alltpo44.html"
"tpo45","45","1","696","The Beringia Landscape","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-696-13.html","https://top.zhan.com/toefl/read/alltpo48.html"
"tpo45","45","2","697","Wind Pollination","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-697-13.html","https://top.zhan.com/toefl/read/alltpo48.html"
"tpo45","45","3","698","Feeding Strategies In The Ocean","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-698-13.html","https://top.zhan.com/toefl/read/alltpo48.html"
"tpo46","46","1","713","The Origins of Writing","历史","History","https://top.zhan.com/toefl/read/practicereview-713-13.html","https://top.zhan.com/toefl/read/alltpo48.html"
"tpo46","46","2","714","The Commercial Revolution in Medieval Europe","社会学","Sociology","https://top.zhan.com/toefl/read/practicereview-714-13.html","https://top.zhan.com/toefl/read/alltpo48.html"
"tpo46","46","3","715","Ecosystem Diversity and Stability","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-715-13.html","https://top.zhan.com/toefl/read/alltpo48.html"
"tpo47","47","1","730","Roman Cultural Influence on Britain","社会学","Sociology","https://top.zhan.com/toefl/read/practicereview-730-13.html","https://top.zhan.com/toefl/read/alltpo48.html"
"tpo47","47","2","731","Termite Ingenuity","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-731-13.html","https://top.zhan.com/toefl/read/alltpo48.html"
"tpo47","47","3","732","Coral Reefs","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-732-13.html","https://top.zhan.com/toefl/read/alltpo48.html"
"tpo48","48","1","747","Chinese Population Growth","人口统计学","Demography","https://top.zhan.com/toefl/read/practicereview-747-13.html","https://top.zhan.com/toefl/read/alltpo48.html"
"tpo48","48","2","748","Determining Dinosaur Diet","考古学","Archaeology","https://top.zhan.com/toefl/read/practicereview-748-13.html","https://top.zhan.com/toefl/read/alltpo48.html"
"tpo48","48","3","749","Climate and Urban Development","气象学","Meteorology","https://top.zhan.com/toefl/read/practicereview-749-13.html","https://top.zhan.com/toefl/read/alltpo48.html"
"tpo49","49","1","900","Ancient Coastlines","地理学","Geography","https://top.zhan.com/toefl/read/practicereview-900-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo49","49","2","901","Movable Type","历史","History","https://top.zhan.com/toefl/read/practicereview-901-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo49","49","3","902","Background for the Industrial Revolution","历史","History","https://top.zhan.com/toefl/read/practicereview-902-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo50","50","1","1278","American Railroads","社会学","Sociology","https://top.zhan.com/toefl/read/practicereview-1278-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo50","50","2","1279","The Achievement of Brazilian Independence","历史","History","https://top.zhan.com/toefl/read/practicereview-1279-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo50","50","3","1280","Star Death","天文学","Astronomy","https://top.zhan.com/toefl/read/practicereview-1280-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo51","51","1","1295","Memphis: United Egypt's First Capital","历史","History","https://top.zhan.com/toefl/read/practicereview-1295-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo51","51","2","1296","Surface Fluids on Venus and Earth","天文学","Astronomy","https://top.zhan.com/toefl/read/practicereview-1296-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo51","51","3","1297","Population Growth in Nineteenth-Century Europe","人类学","Anthropology","https://top.zhan.com/toefl/read/practicereview-1297-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo52","52","1","1312","Stream Deposit","地理学","Geography","https://top.zhan.com/toefl/read/practicereview-1312-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo52","52","2","1313","Natufian Culture","考古学","Archaeology","https://top.zhan.com/toefl/read/practicereview-1313-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo52","52","3","1314","Early Food Production in Sub-Saharan Africa","农业","Agriculture","https://top.zhan.com/toefl/read/practicereview-1314-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo53","53","1","1334","Evidence of the Earliest Writing","历史","History","https://top.zhan.com/toefl/read/practicereview-1334-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo53","53","2","1335","Rain Forest Soils","生态学","Ecology","https://top.zhan.com/toefl/read/practicereview-1335-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo53","53","3","1336","Paleolithic Cave Paintings","考古学","Archaeology","https://top.zhan.com/toefl/read/practicereview-1336-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo54","54","1","1355","The Commercialization of Lumber","商业","Business","https://top.zhan.com/toefl/read/practicereview-1355-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo54","54","2","1356","Overkill of the North American Megafauna","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-1356-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo54","54","3","1357","Elements of Life","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-1357-13.html","https://top.zhan.com/toefl/read/alltpo54.html"
"tpo55","55","1","2333","Mesolithic Complexity in Scandinavia","历史","History","https://top.zhan.com/toefl/read/practicereview-2333-13.html","https://top.zhan.com/toefl/read/alltpo58.html"
"tpo55","55","2","2334","Evolution of the Flowering Plants","植物学","Botany","https://top.zhan.com/toefl/read/practicereview-2334-13.html","https://top.zhan.com/toefl/read/alltpo58.html"
"tpo55","55","3","2335","How Herding Can Provide Safety","生物学","Biology","https://top.zhan.com/toefl/read/practicereview-2335-13.html","https://top.zhan.com/toefl/read/alltpo58.html"
